Main Category	Sub-Category	Hierarchy Path	Component Role	Constraint Text	Subcategory Min Qty	Subcategory Max Qty	Table Rule/Note	Product #	Option Type	Description	Current Qty	Unit Price (USD)	Price Delta (USD)	Extended Price (USD)	Price per GB (USD)	HPE Recommended	Availability	Lead Time	Lead Time Source	Lifecycle Status	Start Date	Discontinued Date	Vendor Attributes (JSON)	Diff Status	Previous List Price (USD)	Price Change (USD)	Price Change (%)	Price History Trail
Support Services	Manufacturing Services	HPE OCA > DL360 Gen11 [P52499-B21] > Support Services > Manufacturing Services	Cable Kit	max 1	0	1	Selection constraint for Manufacturing Services: max 1	469774-409	Standard	HPE Remove Standard Power Cords	0	1.00				No	Available		Not published by OCA	Active	2026-09-16	05/31/2028	{}	BASELINE	N/A	$0.00	0.00%	2026-09-16: $1.00
Storage Controllers	INTEL VROC Products-BTO	HPE OCA > DL360 Gen11 [P52499-B21] > Storage Controllers > INTEL VROC Products-BTO	Storage Controller	Unlimited	0	Unlimited	Selection constraint for INTEL VROC Products-BTO: no max	R7J59AAE	Service	Intel Virtual RAID on CPU Premium E-RTU for HPE	0	0.00				No	Available		Not published by OCA	Active	2026-09-16	05/31/2028	{}	BASELINE	N/A	$0.00	0.00%	2026-09-16: (no price)
Storage Controllers	INTEL VROC Products-BTO	HPE OCA > DL360 Gen11 [P52499-B21] > Storage Controllers > INTEL VROC Products-BTO	Storage Controller	Unlimited	0	Unlimited	Selection constraint for INTEL VROC Products-BTO: no max	S0E38AAE	Service	Intel Virtual RAID on CPU Standard E-RTU for HPE	0	0.00				No	Obsolete (OB)		Not published by OCA	Obsolete (OB)	2026-09-16	2026-09-16	{}	BASELINE	N/A	$0.00	0.00%	2026-09-16: (no price)
Storage Controllers	INTEL VROC Products-BTO	HPE OCA > DL360 Gen11 [P52499-B21] > Storage Controllers > INTEL VROC Products-BTO	Storage Controller	Unlimited	0	Unlimited	Selection constraint for INTEL VROC Products-BTO: no max	S3Q39AAE	Service	Intel Virtual RAID on CPU RAID 1 E-RTU for HPE	0	0.00				No	Available		Not published by OCA	Active	2026-09-16	05/31/2028	{}	BASELINE	N/A	$0.00	0.00%	2026-09-16: (no price)
Support Services	Hybrid RAID Options	HPE OCA > DL360 Gen11 [P52499-B21] > Support Services > Hybrid RAID Options	Service & Support	Unlimited	0	Unlimited	Selection constraint for Hybrid RAID Options: no max	R6A06AAE	Service	Pensando Distributed Services Platform Enterprise 1-year Renewal Subscription 24x7 Support E-RTU	0	0.00				No	Available		Not published by OCA	Active	2026-09-16	05/31/2028	{}	BASELINE	N/A	$0.00	0.00%	2026-09-16: (no price)
Support Services	Hybrid RAID Options	HPE OCA > DL360 Gen11 [P52499-B21] > Support Services > Hybrid RAID Options	Service & Support	Unlimited	0	Unlimited	Selection constraint for Hybrid RAID Options: no max	R6A07AAE	Service	Pensando Distributed Services Platform Enterprise 3-year Subscription 24x7 Support E-RTU	0	0.00				No	Available		Not published by OCA	Active	2026-09-16	05/31/2028	{}	BASELINE	N/A	$0.00	0.00%	2026-09-16: (no price)
Support Services	Hybrid RAID Options	HPE OCA > DL360 Gen11 [P52499-B21] > Support Services > Hybrid RAID Options	Service & Support	Unlimited	0	Unlimited	Selection constraint for Hybrid RAID Options: no max	R6A08AAE	Service	Pensando Distributed Services Platform Enterprise 5-year Subscription 24x7 Support E-RTU	0	0.00				No	Available		Not published by OCA	Active	2026-09-16	05/31/2028	{}	BASELINE	N/A	$0.00	0.00%	2026-09-16: (no price)
Support Services	Hybrid RAID Options	HPE OCA > DL360 Gen11 [P52499-B21] > Support Services > Hybrid RAID Options	Service & Support	Unlimited	0	Unlimited	Selection constraint for Hybrid RAID Options: no max	R6A09AAE	Service	Pensando Distributed Services Platform Enterprise Pro 1-year Renewal Subscription 24x7 Support E-RTU	0	0.00				No	Available		Not published by OCA	Active	2026-09-16	05/31/2028	{}	BASELINE	N/A	$0.00	0.00%	2026-09-16: (no price)
Support Services	Hybrid RAID Options	HPE OCA > DL360 Gen11 [P52499-B21] > Support Services > Hybrid RAID Options	Service & Support	Unlimited	0	Unlimited	Selection constraint for Hybrid RAID Options: no max	R6A10AAE	Service	Pensando Distributed Services Platform Enterprise Pro 3-year Subscription 24x7 Support E-RTU	0	0.00				No	Available		Not published by OCA	Active	2026-09-16	05/31/2028	{}	BASELINE	N/A	$0.00	0.00%	2026-09-16: (no price)
Support Services	Hybrid RAID Options	HPE OCA > DL360 Gen11 [P52499-B21] > Support Services > Hybrid RAID Options	Service & Support	Unlimited	0	Unlimited	Selection constraint for Hybrid RAID Options: no max	R6A11AAE	Service	Pensando Distributed Services Platform Enterprise Pro 5-year Subscription 24x7 Support E-RTU	0	0.00				No	Available		Not published by OCA	Active	2026-09-16	05/31/2028	{}	BASELINE	N/A	$0.00	0.00%	2026-09-16: (no price)
