Main Category	Sub-Category	Constraint	Min Qty	Max Qty	Total SKUs	Has Rules	Rule Count
Energy Star	Energy Star	max 1	0	1	0	No	0
Processor	Processors	required	1	Required	66	Yes	1
Unknown	Heatsink Kit	max 2	0	2	0	No	0
Memory	Memory	max 32	0	32	30	Yes	7
Memory	Memory Blank Kit	max 99	0	99	1	Yes	1
Storage Devices	SAS Controller	max 3	0	3	0	No	0
Storage Devices	Smart Storage Battery	max 2	0	2	0	No	0
Storage Devices	Internal Storage Controller Cables	max 2	0	2	0	No	0
Storage Devices	RAID Settings	max 1	0	1	0	No	0
Storage Devices	Drive Cage	max 2	0	2	0	No	0
Storage Devices	Optical Drive	max 1	0	1	0	No	0
Factory Configuration Settings	BIOS Mode	max 1	0	1	0	No	0
Factory Configuration Settings	Factory Configuration Settings	max 1	0	1	0	No	0
Factory Configuration Settings	iLO Common Password	max 1	0	1	0	No	0
Factory Configuration Settings	Logical Size Settings	max 1	0	1	1	Yes	1
Factory Configuration Settings	Trusted Supply Chain	max 1	0	1	0	No	0
Factory Configuration Settings	vSAN Tracking SKUs	max 1	0	1	0	No	0
Factory Configuration Settings	Memory Setting	max 1	0	1	0	No	0
Factory Configuration Settings	Riser Cards	max 2	0	2	0	No	0
OS Boot Device	OS Boot Device	max 2	0	2	1	Yes	1
Networking	InfiniBand PCIe	max 2	0	2	14	Yes	3
Networking	Ethernet PCIe	max 2	0	2	22	Yes	2
Networking	OCP Ethernet	max 2	0	2	15	Yes	2
Networking	Fibre Channel HBA	max 2	0	2	8	Yes	2
Networking	Transceivers	max 12	0	12	16	Yes	1
Transceivers	Upgrades	max 2	0	2	0	No	0
Transceivers	OCP Infiniband	max 2	0	2	0	No	0
Transceivers	Power Supplies	max 2	0	2	0	No	0
Power Supplies	Power Cooling Options	max 2	0	2	0	No	0
Accessories	Power Cords	max 2	0	2	0	No	0
Security Options	Security Hardware	max 3	0	3	0	No	0
Security Options	Management Hardware	max 1	0	1	1	Yes	1
Manufacturing Services	Manufacturing Services	max 1	0	1	0	No	0
Rack Options	Rack Options	max 2	0	2	0	No	0
Graphics Options	Graphics	max 2	0	2	0	No	0
Hybrid RAID	INTEL VROC Products-FIO	no max	0	Unlimited	0	No	0
Hybrid RAID	INTEL VROC Products-BTO	no max	0	Unlimited	0	No	0
Hybrid RAID	Pensando DSP (SW)	no max	0	Unlimited	0	No	0
Hybrid RAID		no max	0	Unlimited	0	No	0
Virtualization	VMware NSX	no max	0	Unlimited	0	No	0
Virtualization	HPE Virtualization	no max	0	Unlimited	0	No	0
Virtualization	VMWare VCenter Srm Products	no max	0	Unlimited	0	No	0
Virtualization	VMWare VCloud Products	no max	0	Unlimited	0	No	0
Virtualization	VMWare VCenter Products	no max	0	Unlimited	0	No	0
Virtualization	VMWare Client Virtualization	no max	0	Unlimited	0	No	0
Virtualization	VMWare VSphere Editions	no max	0	Unlimited	0	No	0
Virtualization	VMWare VSphere Kits	no max	0	Unlimited	0	No	0
Virtualization	VMWare Core Editions	no max	0	Unlimited	0	No	0
HPE Compute Ops Management	Compute Ops Management SKUs	required	1	Required	7	Yes	2
SGI Software	Data Management Framework DMF	no max	0	Unlimited	0	No	0
SGI Software	MS Windows Server Additional License	max 999	0	999	0	No	0
SGI Software	MS Windows Server CALs	no max	0	Unlimited	0	No	0
