Main Category,Sub-Category,Hierarchy Path,Component Role,Constraint Text,Subcategory Min Qty,Subcategory Max Qty,Table Rule/Note,Product #,Option Type,Description,Current Qty,Unit Price (USD),Price Delta (USD),Extended Price (USD),Price per GB (USD),HPE Recommended,Start Date,Discontinued Date,Diff Status,Previous List Price (USD),Price Change (USD),Price Change (%),Price History Trail
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74508-B21,Standard,Intel Xeon 6714P 4.0GHz 8-core 165W Processor for HPE,0,"$8,941.00","$4,699.00","$17,882.00",,No,06/02/2025,06/30/2029,UNCHANGED,"$8,941.00",$0.00,$0.00,2026-08-12: $8941.00 → 2026-08-12: $8941.00 → 2026-08-13: $8941.00 → 2026-08-14: $8941.00 → 2026-08-16: $8941.00 → 2026-08-19: $8941.00 → 2026-08-22: $8941.00 → 2026-08-22: $8941.00 → 2026-08-24: $4699.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74509-B21,Standard,Intel Xeon 6724P 3.6GHz 16-core 210W Processor for HPE,0,"$11,074.00","$6,832.00","$22,148.00",,No,06/02/2025,06/30/2029,UNCHANGED,"$11,074.00",$0.00,$0.00,2026-08-12: $11074.00 → 2026-08-12: $11074.00 → 2026-08-13: $11074.00 → 2026-08-14: $11074.00 → 2026-08-16: $11074.00 → 2026-08-19: $11074.00 → 2026-08-22: $11074.00 → 2026-08-22: $11074.00 → 2026-08-24: $6832.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74570-B21,Standard,Intel Xeon 6527P 3.0GHz 24-core 255W Processor for HPE,0,"$8,123.00","$3,881.00","$16,246.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$8,123.00",$0.00,$0.00,2026-08-12: $8123.00 → 2026-08-12: $8123.00 → 2026-08-13: $8123.00 → 2026-08-14: $8123.00 → 2026-08-16: $8123.00 → 2026-08-19: $8123.00 → 2026-08-22: $8123.00 → 2026-08-22: $8123.00 → 2026-08-24: $3881.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74571-B21,Standard,Intel Xeon 6530P 2.3GHz 32-core 225W Processor for HPE,0,"$6,830.00","$2,588.00","$13,660.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$6,830.00",$0.00,$0.00,2026-08-12: $6830.00 → 2026-08-12: $6830.00 → 2026-08-13: $6830.00 → 2026-08-14: $6830.00 → 2026-08-16: $6830.00 → 2026-08-19: $6830.00 → 2026-08-22: $6830.00 → 2026-08-22: $6830.00 → 2026-08-24: $2588.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71118-B21,Standard,Intel Xeon 6731E 2.2GHz 96-core 250W Processor for HPE,0,"$7,062.00","$2,820.00","$14,124.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$7,062.00",$0.00,$0.00,2026-08-12: $7062.00 → 2026-08-12: $7062.00 → 2026-08-13: $7062.00 → 2026-08-14: $7062.00 → 2026-08-16: $7062.00 → 2026-08-19: $7062.00 → 2026-08-22: $7062.00 → 2026-08-22: $7062.00 → 2026-08-24: $2820.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71120-B21,Standard,Intel Xeon 6746E 2.0GHz 112-core 250W Processor for HPE,0,"$8,965.00","$4,723.00","$17,930.00",,No,11/04/2024,06/30/2029,UNCHANGED,"$8,965.00",$0.00,$0.00,2026-08-12: $8965.00 → 2026-08-12: $8965.00 → 2026-08-13: $8965.00 → 2026-08-14: $8965.00 → 2026-08-16: $8965.00 → 2026-08-19: $8965.00 → 2026-08-22: $8965.00 → 2026-08-22: $8965.00 → 2026-08-24: $4723.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71119-B21,Standard,Intel Xeon 6740E 2.4GHz 96-core 250W Processor for HPE,0,"$8,459.00","$4,217.00","$16,918.00",,No,11/04/2024,06/30/2029,UNCHANGED,"$8,459.00",$0.00,$0.00,2026-08-12: $8459.00 → 2026-08-12: $8459.00 → 2026-08-13: $8459.00 → 2026-08-14: $8459.00 → 2026-08-16: $8459.00 → 2026-08-19: $8459.00 → 2026-08-22: $8459.00 → 2026-08-22: $8459.00 → 2026-08-24: $4217.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71121-B21,Standard,Intel Xeon 6756E 1.8GHz 128-core 225W Processor for HPE,0,"$11,891.00","$7,649.00","$23,782.00",,No,11/04/2024,06/30/2029,UNCHANGED,"$11,891.00",$0.00,$0.00,2026-08-12: $11891.00 → 2026-08-12: $11891.00 → 2026-08-13: $11891.00 → 2026-08-14: $11891.00 → 2026-08-16: $11891.00 → 2026-08-19: $11891.00 → 2026-08-22: $11891.00 → 2026-08-22: $11891.00 → 2026-08-24: $7649.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71122-B21,Standard,Intel Xeon 6766E 1.9GHz 144-core 250W Processor for HPE,0,"$14,473.00","$10,231.00","$28,946.00",,No,11/04/2024,06/30/2029,UNCHANGED,"$14,473.00",$0.00,$0.00,2026-08-12: $14473.00 → 2026-08-12: $14473.00 → 2026-08-13: $14473.00 → 2026-08-14: $14473.00 → 2026-08-16: $14473.00 → 2026-08-19: $14473.00 → 2026-08-22: $14473.00 → 2026-08-22: $14473.00 → 2026-08-24: $10231.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71124-B21,Standard,Intel Xeon 6780E 2.2GHz 144-core 330W Processor for HPE,0,"$16,019.00","$11,777.00","$32,038.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$16,019.00",$0.00,$0.00,2026-08-12: $16019.00 → 2026-08-12: $16019.00 → 2026-08-13: $16019.00 → 2026-08-14: $16019.00 → 2026-08-16: $16019.00 → 2026-08-19: $16019.00 → 2026-08-22: $16019.00 → 2026-08-22: $16019.00 → 2026-08-24: $11777.00 (▼)
